year,race,position,number,driver,car,time,laps
2004,United States,7,16, da Matta,Toyota,1:10.108,3
2004,United States,8,9, Button,BAR Honda,1:10.115,3
2004,United States,9,1, Schumacher,Ferrari,1:10.129,3
2004,United States,10,7, Trulli,Renault,1:10.559,3
2004,United States,11,11, Fisichella,Sauber Petronas,1:10.997,3
2004,United States,12,5, Coulthard,McLaren Mercedes,1:11.068,3
2004,United States,13,12, Massa,Sauber Petronas,1:11.315,3
2004,United States,14,6, Räikkönen,McLaren Mercedes,1:11.415,3
2004,United States,15,14, Webber,Jaguar Cosworth,1:11.444,3
2004,United States,16,15, Klien,Jaguar Cosworth,1:11.777,3
2004,United States,17,19, Pantano,Jordan Ford,1:12.017,3
2004,United States,18,18, Heidfeld,Jordan Ford,1:12.329,3
2004,United States,19,20, Bruni,Minardi Cosworth,1:13.776,3
2004,United States,20,21, Baumgartner,Minardi Cosworth,1:14.396,3
2004,France,1,3, Montoya,Williams BMW,1:13.377,3
2004,France,2,1, Schumacher,Ferrari,1:13.541,3
2004,France,3,5, Coulthard,McLaren Mercedes,1:13.649,3
2004,France,4,6, Räikkönen,McLaren Mercedes,1:13.736,3
2004,France,5,8, Alonso,Renault,1:13.750,3
2004,France,6,9, Button,BAR Honda,1:13.772,3
2004,France,7,7, Trulli,Renault,1:13.949,3
2004,France,8,10, Sato,BAR Honda,1:14.130,3
2004,France,9,4, Gene,Williams BMW,1:14.133,3
2004,France,10,16, da Matta,Toyota,1:14.245,3
2004,France,11,17, Panis,Toyota,1:14.540,3
2004,France,12,12, Massa,Sauber Petronas,1:14.627,3
2004,France,13,15, Klien,Jaguar Cosworth,1:15.205,3
2004,France,14,14, Webber,Jaguar Cosworth,1:15.332,3
2004,France,15,11, Fisichella,Sauber Petronas,1:15.793,3
2004,France,16,19, Pantano,Jordan Ford,1:15.913,3
2004,France,17,18, Heidfeld,Jordan Ford,1:16.366,3
2004,France,18,20, Bruni,Minardi Cosworth,1:18.070,3
2004,France,19,21, Baumgartner,Minardi Cosworth,1:18.108,3
2004,Great Britain,1,9, Button,BAR Honda,1:18.872,3
2004,Great Britain,2,12, Massa,Sauber Petronas,1:19.317,3
2004,Great Britain,3,17, Panis,Toyota,1:19.697,3
2004,Great Britain,4,19, Pantano,Jordan Ford,1:21.350,3
2004,Great Britain,5,7, Trulli,Renault,1:21.496,3
2004,Great Britain,6,6, Räikkönen,McLaren Mercedes,1:21.639,3
2004,Great Britain,7,8, Alonso,Renault,1:21.923,3
2004,Great Britain,8,16, da Matta,Toyota,1:22.507,3
2004,Great Britain,9,20, Bruni,Minardi Cosworth,1:22.529,3
2004,Great Britain,10,21, Baumgartner,Minardi Cosworth,1:23.116,3
2004,Great Britain,11,5, Coulthard,McLaren Mercedes,1:23.521,3
2004,Great Britain,12,2, Barrichello,Ferrari,1:24.817,3
2004,Great Britain,13,10, Sato,BAR Honda,1:28.910,3
2004,Great Britain,14,1, Schumacher,Ferrari,1:30.293,3
2004,Great Britain,15,3, Montoya,Williams BMW,1:34.386,3
2004,Great Britain,16,4, Gene,Williams BMW,1:34.981,3
2004,Great Britain,17,14, Webber,Jaguar Cosworth,1:35.853,3
2004,Great Britain,18,15, Klien,Jaguar Cosworth,1:38.648,3
2004,Great Britain,19,11, Fisichella,Sauber Petronas,,2
2004,Great Britain,20,18, Heidfeld,Jordan Ford,,2
2004,Germany,1,3, Montoya,Williams BMW,1:13.391,3
2004,Germany,2,4, Pizzonia,Williams BMW,1:13.422,3
2004,Germany,3,9, Button,BAR Honda,1:13.535,3
2004,Germany,4,8, Alonso,Renault,1:13.582,3
2004,Germany,5,5, Coulthard,McLaren Mercedes,1:13.640,3
2004,Germany,6,17, Panis,Toyota,1:13.641,3
2004,Germany,7,7, Trulli,Renault,1:13.737,3
2004,Germany,8,6, Räikkönen,McLaren Mercedes,1:13.842,3
2004,Germany,9,12, Massa,Sauber Petronas,1:13.899,3
2004,Germany,10,11, Fisichella,Sauber Petronas,1:13.914,3
2004,Germany,11,1, Schumacher,Ferrari,1:14.042,3
2004,Germany,12,2, Barrichello,Ferrari,1:14.111,3
2004,Germany,13,10, Sato,BAR Honda,1:14.465,3
2004,Germany,14,15, Klien,Jaguar Cosworth,1:15.090,3
2004,Germany,15,14, Webber,Jaguar Cosworth,1:15.093,3
2004,Germany,16,16, da Matta,Toyota,1:15.119,3
2004,Germany,17,19, Pantano,Jordan Ford,1:16.167,3
2004,Germany,18,18, Heidfeld,Jordan Ford,1:16.538,3
2004,Germany,19,20, Bruni,Minardi Cosworth,1:17.283,3
2004,Germany,20,21, Baumgartner,Minardi Cosworth,1:17.515,3
2004,Hungary,1,2, Barrichello,Ferrari,1:18.436,3
2004,Hungary,2,1, Schumacher,Ferrari,1:19.107,3
2004,Hungary,3,12, Massa,Sauber Petronas,1:19.658,3
2004,Hungary,4,11, Fisichella,Sauber Petronas,1:19.668,3
2004,Hungary,5,10, Sato,BAR Honda,1:19.695,3
2004,Hungary,6,3, Montoya,Williams BMW,1:19.821,3
2004,Hungary,7,9, Button,BAR Honda,1:19.878,3
2004,Hungary,8,7, Trulli,Renault,1:19.879,3
2004,Hungary,9,4, Pizzonia,Williams BMW,1:20.019,3
2004,Hungary,10,6, Räikkönen,McLaren Mercedes,1:20.066,3
2004,Hungary,11,8, Alonso,Renault,1:20.135,3
2004,Hungary,12,16, Zonta,Toyota,1:20.199,3
2004,Hungary,13,18, Heidfeld,Jordan Ford,1:20.439,3
2004,Hungary,14,17, Panis,Toyota,1:20.491,3
2004,Hungary,15,19, Pantano,Jordan Ford,1:21.187,3
2004,Hungary,16,5, Coulthard,McLaren Mercedes,1:21.192,3
2004,Hungary,17,14, Webber,Jaguar Cosworth,1:21.452,3
2004,Hungary,18,15, Klien,Jaguar Cosworth,1:21.510,3
2004,Hungary,19,20, Bruni,Minardi Cosworth,1:23.362,3
2004,Hungary,20,21, Baumgartner,Minardi Cosworth,1:24.656,3
2004,Belgium,1,1, Schumacher,Ferrari,1:53.755,3
2004,Belgium,2,2, Barrichello,Ferrari,1:54.913,3
2004,Belgium,3,6, Räikkönen,McLaren Mercedes,1:55.371,3
2004,Belgium,4,12, Massa,Sauber Petronas,1:56.057,3
2004,Belgium,5,11, Fisichella,Sauber Petronas,1:56.068,3
2004,Belgium,6,3, Montoya,Williams BMW,1:56.842,3
2004,Belgium,7,5, Coulthard,McLaren Mercedes,1:56.994,3
2004,Belgium,8,8, Alonso,Renault,1:58.242,3
2004,Belgium,9,7, Trulli,Renault,1:58.606,3
2004,Belgium,10,9, Button,BAR Honda,1:58.837,3
2004,Belgium,11,10, Sato,BAR Honda,1:58.929,3
2004,Belgium,12,4, Pizzonia,Williams BMW,1:59.100,3
2004,Belgium,13,14, Webber,Jaguar Cosworth,1:59.437,3
2004,Belgium,14,19, Pantano,Jordan Ford,1:59.442,3
2004,Belgium,15,15, Klien,Jaguar Cosworth,1:59.997,3
2004,Belgium,16,18, Heidfeld,Jordan Ford,2:00.166,3
2004,Belgium,17,21, Baumgartner,Minardi Cosworth,2:01.195,3
