year,race,position,number,driver,car,laps,time,points
1967,France,4,18, Siffert,Cooper Maserati,77,+3 laps,3
1967,France,5,15, Irwin,BRM,76,DNF,2
1967,France,6,14, Rodriguez,Cooper Maserati,76,+4 laps,1
1967,France,NC,16, Ligier,Cooper Maserati,68,+12 laps,0
1967,France,NC,2, Amon,Ferrari,47,DNF,0
1967,France,NC,9, Gurney,Eagle Weslake,40,DNF,0
1967,France,NC,12, Rindt,Cooper Maserati,33,DNF,0
1967,France,NC,8, McLaren,Eagle Weslake,26,DNF,0
1967,France,NC,6, Clark,Lotus Ford,23,DNF,0
1967,France,NC,17, Anderson,Brabham Climax,16,DNF,0
1967,France,NC,7, Hill,Lotus Ford,13,DNF,0
1967,France,NC,11, Spence,BRM,9,DNF,0
1967,Great Britain,1,5, Clark,Lotus Ford,80,1:59:25.600,9
1967,Great Britain,2,2, Hulme,Brabham Repco,80,+12.800s,6
1967,Great Britain,3,8, Amon,Ferrari,80,+16.600s,4
1967,Great Britain,4,1, Brabham,Brabham Repco,80,+21.800s,3
1967,Great Britain,5,12, Rodriguez,Cooper Maserati,79,+1 lap,2
1967,Great Britain,6,7, Surtees,Honda,78,+2 laps,1
1967,Great Britain,7,15, Irwin,BRM,77,+3 laps,0
1967,Great Britain,8,20, Hobbs,BRM,77,+3 laps,0
1967,Great Britain,9,14, Rees,Cooper Maserati,76,+4 laps,0
1967,Great Britain,10,18, Ligier,Brabham Repco,76,+4 laps,0
1967,Great Britain,NC,19, Anderson,Brabham Climax,67,DNF,0
1967,Great Britain,NC,6, Hill,Lotus Ford,64,DNF,0
1967,Great Britain,NC,4, Spence,BRM,44,DNF,0
1967,Great Britain,NC,9, Gurney,Eagle Weslake,34,DNF,0
1967,Great Britain,NC,22, Moser,Cooper ATS,29,DNF,0
1967,Great Britain,NC,11, Rindt,Cooper Maserati,26,DNF,0
1967,Great Britain,NC,3, Stewart,BRM,20,DNF,0
1967,Great Britain,NC,10, McLaren,Eagle Weslake,14,DNF,0
1967,Great Britain,NC,17, Siffert,Cooper Maserati,10,DNF,0
1967,Great Britain,NC,23, Bonnier,Cooper Maserati,0,DNF,0
1967,Germany,1,2, Hulme,Brabham Repco,15,2:05:55.700,9
1967,Germany,2,1, Brabham,Brabham Repco,15,+38.500s,6
1967,Germany,3,8, Amon,Ferrari,15,+39.000s,4
1967,Germany,4,7, Surtees,Honda,15,+145.700s,3
1967,Germany,5,24, Oliver,Lotus Ford,15,+369.200s,0
1967,Germany,6,16, Bonnier,Cooper Maserati,15,+522.100s,0
1967,Germany,7,22, Rees,,15,+527.900s,0
1967,Germany,8,15, Ligier,Brabham Repco,14,+1 lap,0
1967,Germany,9,18, Irwin,BRM,13,+2 laps,0
1967,Germany,10,27, Hobbs,Lola BMW,13,+2 laps,0
1967,Germany,11,6, Rodriguez,Cooper Maserati,13,+2 laps,0
1967,Germany,NC,9, Gurney,Eagle Weslake,12,DNF,0
1967,Germany,NC,29, Ickx,Matra Ford,12,DNF,0
1967,Germany,NC,25, Hart,Protos Cosworth,12,+3 laps,0
1967,Germany,NC,14, Siffert,Cooper Maserati,11,DNF,0
1967,Germany,NC,4, Hill,Lotus Ford,8,DNF,0
1967,Germany,NC,17, Hahne,Lola BMW,6,DNF,0
1967,Germany,NC,11, Stewart,BRM,5,DNF,0
1967,Germany,NC,5, Rindt,Cooper Maserati,4,DNF,0
1967,Germany,NC,3, Clark,Lotus Ford,4,DNF,0
1967,Germany,NC,26, Ahrens,Protos Cosworth,4,DNF,0
1967,Germany,NC,10, McLaren,Eagle Weslake,3,DNF,0
1967,Germany,NC,12, Spence,BRM,3,DNF,0
1967,Germany,NC,23, Schlesser,Matra Ford,2,DNF,0
1967,Germany,NC,20, Mitter,,0,DNF,0
1967,Canada,1,1, Brabham,Brabham Repco,90,2:40:40.000,9
1967,Canada,2,2, Hulme,Brabham Repco,90,+61.900s,6
1967,Canada,3,10, Gurney,Eagle Weslake,89,+1 lap,4
1967,Canada,4,4, Hill,Lotus Ford,88,+2 laps,3
1967,Canada,5,16, Spence,BRM,87,+3 laps,2
1967,Canada,6,20, Amon,Ferrari,87,+3 laps,1
1967,Canada,7,19, McLaren,McLaren BRM,86,+4 laps,0
1967,Canada,8,9, Bonnier,Cooper Maserati,85,+5 laps,0
1967,Canada,9,12, Hobbs,BRM,85,+5 laps,0
1967,Canada,10,8, Attwood,Cooper Maserati,84,+6 laps,0
1967,Canada,11,6, Fisher,Lotus BRM,81,+9 laps,0
1967,Canada,NC,3, Clark,Lotus Ford,69,DNF,0
1967,Canada,DQ,5, Wietzes,Lotus Ford,69,DSQ,0
1967,Canada,NC,15, Stewart,BRM,65,DNF,0
1967,Canada,NC,11, Pease,Eagle Climax,47,+43 laps,0
1967,Canada,NC,17, Irwin,BRM,18,DNF,0
1967,Canada,NC,71, Rindt,Cooper Maserati,4,DNF,0
1967,Italy,1,14, Surtees,Honda,68,1:43:45.000,9
1967,Italy,2,16, Brabham,Brabham Repco,68,+0.200s,6
1967,Italy,3,20, Clark,Lotus Ford,68,+23.100s,4
1967,Italy,4,30, Rindt,Cooper Maserati,68,+56.600s,3
1967,Italy,5,36, Spence,BRM,67,+1 lap,2
1967,Italy,6,32, Ickx,Cooper Maserati,66,+2 laps,1
1967,Italy,7,2, Amon,Ferrari,64,+4 laps,0
1967,Italy,NC,22, Hill,Lotus Ford,58,DNF,0
1967,Italy,NC,24, Baghetti,Lotus Ford,50,DNF,0
1967,Italy,NC,6, Siffert,Cooper Maserati,50,DNF,0
1967,Italy,NC,4, McLaren,McLaren BRM,46,DNF,0
1967,Italy,NC,26, Bonnier,Cooper Maserati,46,DNF,0
1967,Italy,NC,34, Stewart,BRM,45,DNF,0
1967,Italy,NC,18, Hulme,Brabham Repco,30,DNF,0
1967,Italy,NC,12, Ligier,Brabham Repco,26,DNF,0
1967,Italy,NC,38, Irwin,BRM,16,DNF,0
1967,Italy,NC,10, Scarfiotti,Eagle Weslake,5,DNF,0
1967,Italy,NC,8, Gurney,Eagle Weslake,4,DNF,0
1967,United States,1,5, Clark,Lotus Ford,108,2:03:13.200,9
1967,United States,2,6, Hill,Lotus Ford,108,+6.300s,6
1967,United States,3,2, Hulme,Brabham Repco,107,+1 lap,4
1967,United States,4,15, Siffert,Cooper Maserati,106,+2 laps,3
1967,United States,5,1, Brabham,Brabham Repco,104,+4 laps,2
1967,United States,6,16, Bonnier,Cooper Maserati,101,+7 laps,1
1967,United States,7,22, Beltoise,Matra Ford,101,+7 laps,0
1967,United States,NC,3, Surtees,Honda,96,DNF,0
1967,United States,NC,9, Amon,Ferrari,95,DNF,0
1967,United States,NC,7, Stewart,BRM,72,DNF,0
1967,United States,NC,21, Ickx,Cooper Maserati,45,DNF,0
1967,United States,NC,19, Ligier,Brabham Repco,43,DNF,0
1967,United States,NC,17, Irwin,BRM,41,DNF,0
1967,United States,NC,8, Spence,BRM,35,DNF,0
1967,United States,NC,4, Rindt,Cooper Maserati,33,DNF,0
1967,United States,NC,11, Gurney,Eagle Weslake,24,DNF,0
1967,United States,NC,14, McLaren,McLaren BRM,16,DNF,0
1967,United States,NC,18, Solana,Lotus Ford,7,DNF,0
1967,Mexico,1,5, Clark,Lotus Ford,65,1:59:28.700,9
1967,Mexico,2,1, Brabham,Brabham Repco,65,+85.360s,6
1967,Mexico,3,2, Hulme,Brabham Repco,64,+1 lap,4
1967,Mexico,4,3, Surtees,Honda,64,+1 lap,3
1967,Mexico,5,8, Spence,BRM,63,+2 laps,2
1967,Mexico,6,21, Rodriguez,Cooper Maserati,63,+2 laps,1
1967,Mexico,7,22, Beltoise,Matra Ford,63,+2 laps,0
1967,Mexico,8,12, Williams,Ferrari,63,+2 laps,0
1967,Mexico,9,9, Amon,Ferrari,62,+3 laps,0
1967,Mexico,10,16, Bonnier,Cooper Maserati,61,+4 laps,0
1967,Mexico,11,19, Ligier,Brabham Repco,61,+4 laps,0
1967,Mexico,12,15, Siffert,Cooper Maserati,59,DNF,0
1967,Mexico,NC,14, McLaren,McLaren BRM,45,DNF,0
1967,Mexico,NC,17, Irwin,BRM,33,DNF,0
1967,Mexico,NC,7, Stewart,BRM,24,DNF,0
1967,Mexico,NC,6, Hill,Lotus Ford,18,DNF,0
1967,Mexico,NC,18, Solana,Lotus Ford,12,DNF,0
1967,Mexico,NC,11, Gurney,Eagle Climax,4,DNF,0
1967,Mexico,NC,10, Fisher,Lotus BRM,1,DNF,0
1966,Monaco,1,12, Stewart,BRM,100,2:33:10.500,9
1966,Monaco,2,16, Bandini,Ferrari,100,+40.200s,6
1966,Monaco,3,11, Hill,BRM,99,+1 lap,4
1966,Monaco,4,19, Bondurant,BRM,95,+5 laps,3
1966,Monaco,NC,9, Ginther,Cooper Maserati,80,DNF,0
1966,Monaco,NC,21, Ligier,Cooper Maserati,75,+25 laps,0
1966,Monaco,NC,18, Bonnier,Cooper Maserati,73,+27 laps,0
1966,Monaco,NC,4, Clark,Lotus Climax,60,DNF,0
1966,Monaco,NC,10, Rindt,Cooper Maserati,56,DNF,0
1966,Monaco,NC,14, Siffert,Brabham BRM,35,DNF,0
1966,Monaco,NC,6, Spence,Lotus BRM,34,DNF,0
1966,Monaco,NC,7, Brabham,Brabham Repco,17,DNF,0
1966,Monaco,NC,17, Surtees,Ferrari,16,DNF,0
1966,Monaco,NC,8, Hulme,Brabham Climax,15,DNF,0
1966,Monaco,NC,2, McLaren,McLaren Ford,9,DNF,0
1966,Monaco,NC,15, Anderson,Brabham Climax,3,DNF,0
1966,Belgium,1,6, Surtees,Ferrari,28,2:09:11.300,9
1966,Belgium,2,19, Rindt,Cooper Maserati,28,+42.100s,6
1966,Belgium,3,7, Bandini,Ferrari,27,+1 lap,4
1966,Belgium,4,3, Brabham,Brabham Repco,26,+2 laps,3
1966,Belgium,5,18, Ginther,Cooper Maserati,25,+3 laps,2
1966,Belgium,NC,22, Ligier,Cooper Maserati,24,+4 laps,0
1966,Belgium,NC,27, Gurney,Eagle Climax,23,+5 laps,0
1966,Belgium,NC,24, Bondurant,BRM,0,DNF,0
1966,Belgium,NC,20, Bonnier,Cooper Maserati,0,DNF,0
1966,Belgium,NC,10, Clark,Lotus Climax,0,DNF,0
1966,Belgium,NC,14, Hill,BRM,0,DNF,0
1966,Belgium,NC,4, Hulme,Brabham Climax,0,DNF,0
1966,Belgium,NC,21, Siffert,Cooper Maserati,0,DNF,0
1966,Belgium,NC,16, Spence,Lotus BRM,0,DNF,0
1966,Belgium,NC,15, Stewart,BRM,0,DNF,0
1966,France,1,12, Brabham,Brabham Repco,48,1:48:31.300,9
1966,France,2,22, Parkes,Ferrari,48,+9.500s,6
1966,France,3,14, Hulme,Brabham Repco,46,+2 laps,4
1966,France,4,6, Rindt,Cooper Maserati,46,+2 laps,3
1966,France,5,26, Gurney,Eagle Climax,45,+3 laps,2
1966,France,6,44, Taylor,Brabham BRM,45,+3 laps,1
1966,France,7,36, Anderson,Brabham Climax,44,+4 laps,0
1966,France,8,8, Amon,Cooper Maserati,44,+4 laps,0
1966,France,NC,42, Ligier,Cooper Maserati,42,+6 laps,0
1966,France,NC,2, Rodriguez,Lotus Climax,40,DNF,0
1966,France,NC,20, Bandini,Ferrari,37,+11 laps,0
1966,France,NC,30, Bonnier,Brabham Climax,32,+16 laps,0
1966,France,NC,16, Hill,BRM,13,DNF,0
1966,France,NC,38, Siffert,Cooper Maserati,10,DNF,0
1966,France,NC,32, Spence,Lotus BRM,8,DNF,0
1966,France,NC,10, Surtees,Cooper Maserati,5,DNF,0
1966,France,NC,4, Arundell,Lotus BRM,3,DNF,0
1966,Great Britain,1,5, Brabham,Brabham Repco,80,2:13:13.400,9
1966,Great Britain,2,6, Hulme,Brabham Repco,80,+9.600s,6
1966,Great Britain,3,3, Hill,BRM,79,+1 lap,4
1966,Great Britain,4,1, Clark,Lotus Climax,79,+1 lap,3
1966,Great Britain,5,11, Rindt,Cooper Maserati,79,+1 lap,2
1966,Great Britain,6,14, McLaren,McLaren Serenissima,78,+2 laps,1
1966,Great Britain,7,7, Irwin,Brabham Climax,78,+2 laps,0
1966,Great Britain,8,22, Taylor,Brabham BRM,76,+4 laps,0
1966,Great Britain,9,25, Bondurant,BRM,76,+4 laps,0
1966,Great Britain,10,19, Ligier,Cooper Maserati,75,+5 laps,0
1966,Great Britain,11,24, Lawrence,Cooper Ferrari,73,+7 laps,0
1966,Great Britain,NC,20, Siffert,Cooper Maserati,70,+10 laps,0
1966,Great Britain,NC,21, Anderson,Brabham Climax,70,+10 laps,0
1966,Great Britain,NC,12, Surtees,Cooper Maserati,67,DNF,0
1966,Great Britain,NC,18, Bonnier,Brabham Climax,42,DNF,0
1966,Great Britain,NC,2, Arundell,Lotus BRM,32,DNF,0
1966,Great Britain,NC,4, Stewart,BRM,17,DNF,0
1966,Great Britain,NC,17, Spence,Lotus BRM,15,DNF,0
1966,Great Britain,NC,16, Gurney,Eagle Climax,9,DNF,0
1966,Great Britain,NC,23, Taylor,Shannon Climax,0,DNF,0
1966,Netherlands,1,16, Brabham,Brabham Repco,90,2:20:32.500,9
1966,Netherlands,2,12, Hill,BRM,89,+1 lap,6
1966,Netherlands,3,6, Clark,Lotus Climax,88,+2 laps,4
1966,Netherlands,4,14, Stewart,BRM,88,+2 laps,3
1966,Netherlands,5,32, Spence,Lotus BRM,87,+3 laps,2
1966,Netherlands,6,2, Bandini,Ferrari,87,+3 laps,1
1966,Netherlands,7,30, Bonnier,Cooper Maserati,84,+6 laps,0
1966,Netherlands,8,38, Taylor,Brabham BRM,84,+6 laps,0
1966,Netherlands,9,36, Ligier,Cooper Maserati,84,+6 laps,0
1966,Netherlands,NC,28, Siffert,Cooper Maserati,79,DNF,0
1966,Netherlands,NC,34, Anderson,Brabham Climax,73,DNF,0
1966,Netherlands,NC,24, Surtees,Cooper Maserati,44,DNF,0
1966,Netherlands,NC,18, Hulme,Brabham Repco,37,DNF,0
1966,Netherlands,NC,8, Arundell,Lotus BRM,28,DNF,0
1966,Netherlands,NC,10, Gurney,Eagle Climax,26,DNF,0
1966,Netherlands,NC,4, Parkes,Ferrari,10,DNF,0
1966,Netherlands,NC,26, Rindt,Cooper Maserati,2,DNF,0
1966,Germany,1,3, Brabham,Brabham Repco,15,2:27:03.000,9
1966,Germany,2,7, Surtees,Cooper Maserati,15,+44.400s,6
1966,Germany,3,8, Rindt,Cooper Maserati,15,+152.600s,4
1966,Germany,4,5, Hill,BRM,15,+401.400s,3
1966,Germany,5,6, Stewart,BRM,15,+508.900s,2
1966,Germany,6,9, Bandini,Ferrari,15,+656.400s,1
1966,Germany,7,12, Gurney,Eagle Climax,14,+1 lap,0
1966,Germany,8,34, Beltoise,Matra Cosworth,14,+1 lap,0
1966,Germany,9,26, Hahne,Matra BRM,14,+1 lap,0
1966,Germany,10,33, Schlesser,Matra Cosworth,14,+1 lap,0
1966,Germany,11,28, Herrmann,,14,+1 lap,0
1966,Germany,12,2, Arundell,,14,+1 lap,0
1966,Germany,NC,15, Spence,Lotus BRM,12,DNF,0
1966,Germany,NC,1, Clark,Lotus Climax,11,DNF,0
1966,Germany,NC,20, Lawrence,Cooper Ferrari,10,DNF,0
1966,Germany,NC,11, Scarfiotti,Ferrari,9,DNF,0
1966,Germany,NC,10, Parkes,Ferrari,9,DNF,0
1966,Germany,NC,4, Hulme,Brabham Repco,8,DNF,0
1966,Germany,NC,31, Rodriguez,Lotus BRM,7,DNF,0
1966,Germany,NC,29, Rees,,4,DNF,0
1966,Germany,NC,17, Bonnier,Cooper Maserati,4,DNF,0
1966,Germany,NC,32, Courage,Lotus BRM,3,DNF,0
1966,Germany,NC,14, Bondurant,BRM,3,DNF,0
1966,Germany,NC,25, Ahrens,Brabham Climax,3,DNF,0
1966,Germany,NC,19, Anderson,Brabham Climax,2,DNF,0
1966,Germany,NC,27, Ickx,Matra Cosworth,1,DNF,0
1966,Germany,NC,16, Taylor,Brabham BRM,0,DNF,0
1966,Italy,1,6, Scarfiotti,Ferrari,68,1:47:14.800,9
1966,Italy,2,4, Parkes,Ferrari,68,+5.800s,6
1966,Italy,3,12, Hulme,Brabham Repco,68,+6.100s,4
1966,Italy,4,16, Rindt,Cooper Maserati,67,+1 lap,3
1966,Italy,5,42, Spence,Lotus BRM,67,+1 lap,2
1966,Italy,6,40, Anderson,Brabham Climax,66,+2 laps,1
1966,Italy,7,48, Bondurant,BRM,65,+3 laps,0
1966,Italy,8,24, Arundell,Lotus BRM,63,DNF,0
1966,Italy,9,20, Russo,Lotus Climax,63,+5 laps,0
1966,Italy,NC,44, Baghetti,Ferrari,59,+9 laps,0
1966,Italy,NC,22, Clark,Lotus BRM,58,DNF,0
1966,Italy,NC,36, Siffert,Cooper Maserati,46,DNF,0
1966,Italy,NC,2, Bandini,Ferrari,33,DNF,0
1966,Italy,NC,14, Surtees,Cooper Maserati,31,DNF,0
1966,Italy,NC,18, Ginther,Honda,16,DNF,0
1966,Italy,NC,30, Gurney,Eagle Weslake,7,DNF,0
1966,Italy,NC,10, Brabham,Brabham Repco,7,DNF,0
1966,Italy,NC,28, Stewart,BRM,5,DNF,0
