year,race,position,number,driver,car,laps,time,points
2023,Mexico,13,27, Hulkenberg,,71,+80.309s,0
2023,Mexico,14,24,Zhou ,,71,+81.676s,0
2023,Mexico,15,77, Bottas,,71,+85.597s,0
2023,Mexico,16,2, Sargeant,,70,DNF,0
2023,Mexico,17,18, Stroll,,66,DNF,0
2023,Mexico,NC,14, Alonso,,47,DNF,0
2023,Mexico,NC,20, Magnussen,,31,DNF,0
2023,Mexico,NC,11, Perez,,1,DNF,0
2023,Brazil,1,1, Verstappen,,71,1:56:48.894,25
2023,Brazil,2,4, Norris,,71,+8.277s,19
2023,Brazil,3,14, Alonso,,71,+34.155s,15
2023,Brazil,4,11, Perez,,71,+34.208s,12
2023,Brazil,5,18, Stroll,,71,+40.845s,10
2023,Brazil,6,55, Sainz,,71,+50.188s,8
2023,Brazil,7,10, Gasly,,71,+56.093s,6
2023,Brazil,8,44, Hamilton,,71,+62.859s,4
2023,Brazil,9,22, Tsunoda,,71,+69.880s,2
2023,Brazil,10,31, Ocon,,70,+1 lap,1
2023,Brazil,11,2, Sargeant,,70,+1 lap,0
2023,Brazil,12,27, Hulkenberg,,70,+1 lap,0
2023,Brazil,13,3, Ricciardo,,70,+1 lap,0
2023,Brazil,14,81, Piastri,,69,+2 laps,0
2023,Brazil,NC,63, Russell,,57,DNF,0
2023,Brazil,NC,77, Bottas,,39,DNF,0
2023,Brazil,NC,24,Zhou ,,22,DNF,0
2023,Brazil,NC,20, Magnussen,,0,DNF,0
2023,Brazil,NC,23, Albon,,0,DNF,0
2023,Brazil,NC,16, Leclerc,,0,DNS,0
2023,Las Vegas,1,1, Verstappen,,50,1:29:08.289,25
2023,Las Vegas,2,16, Leclerc,,50,+2.070s,18
2023,Las Vegas,3,11, Perez,,50,+2.241s,15
2023,Las Vegas,4,31, Ocon,,50,+18.665s,12
2023,Las Vegas,5,18, Stroll,,50,+20.067s,10
2023,Las Vegas,6,55, Sainz,,50,+20.834s,8
2023,Las Vegas,7,44, Hamilton,,50,+21.755s,6
2023,Las Vegas,8,63, Russell,,50,+23.091s,4
2023,Las Vegas,9,14, Alonso,,50,+25.964s,2
2023,Las Vegas,10,81, Piastri,,50,+29.496s,2
2023,Las Vegas,11,10, Gasly,,50,+34.270s,0
2023,Las Vegas,12,23, Albon,,50,+43.398s,0
2023,Las Vegas,13,20, Magnussen,,50,+44.825s,0
2023,Las Vegas,14,3, Ricciardo,,50,+48.525s,0
2023,Las Vegas,15,24,Zhou ,,50,+50.162s,0
2023,Las Vegas,16,2, Sargeant,,50,+50.882s,0
2023,Las Vegas,17,77, Bottas,,50,+85.350s,0
2023,Las Vegas,18,22, Tsunoda,,46,DNF,0
2023,Las Vegas,19,27, Hulkenberg,,45,DNF,0
2023,Las Vegas,NC,4, Norris,,2,DNF,0
2023,Abu Dhabi,1,1, Verstappen,,58,1:27:02.624,26
2023,Abu Dhabi,2,16, Leclerc,,58,+17.993s,18
2023,Abu Dhabi,3,63, Russell,,58,+20.328s,15
2023,Abu Dhabi,4,11, Perez,,58,+21.453s,12
2023,Abu Dhabi,5,4, Norris,,58,+24.284s,10
2023,Abu Dhabi,6,81, Piastri,,58,+31.487s,8
2023,Abu Dhabi,7,14, Alonso,,58,+39.512s,6
2023,Abu Dhabi,8,22, Tsunoda,,58,+43.088s,4
2023,Abu Dhabi,9,44, Hamilton,,58,+44.424s,2
2023,Abu Dhabi,10,18, Stroll,,58,+55.632s,1
2023,Abu Dhabi,11,3, Ricciardo,,58,+56.229s,0
2023,Abu Dhabi,12,31, Ocon,,58,+66.373s,0
2023,Abu Dhabi,13,10, Gasly,,58,+70.360s,0
2023,Abu Dhabi,14,23, Albon,,58,+73.184s,0
2023,Abu Dhabi,15,27, Hulkenberg,,58,+83.696s,0
2023,Abu Dhabi,16,2, Sargeant,,58,+87.791s,0
2023,Abu Dhabi,17,24,Zhou ,,58,+89.422s,0
2023,Abu Dhabi,18,55, Sainz,,57,DNF,0
2023,Abu Dhabi,19,77, Bottas,,57,+1 lap,0
2023,Abu Dhabi,20,20, Magnussen,,57,+1 lap,0
2022,Bahrain,1,16, Leclerc,,57,1:37:33.584,26
2022,Bahrain,2,55, Sainz,,57,+5.598s,18
2022,Bahrain,3,44, Hamilton,,57,+9.675s,15
2022,Bahrain,4,63, Russell,,57,+11.211s,12
2022,Bahrain,5,20, Magnussen,,57,+14.754s,10
2022,Bahrain,6,77, Bottas,,57,+16.119s,8
2022,Bahrain,7,31, Ocon,,57,+19.423s,6
2022,Bahrain,8,22, Tsunoda,,57,+20.386s,4
2022,Bahrain,9,14, Alonso,,57,+22.390s,2
2022,Bahrain,10,24,Zhou ,,57,+23.064s,1
2022,Bahrain,11,47, Schumacher,,57,+32.574s,0
2022,Bahrain,12,18, Stroll,,57,+45.873s,0
2022,Bahrain,13,23, Albon,,57,+53.932s,0
2022,Bahrain,14,3, Ricciardo,,57,+54.975s,0
2022,Bahrain,15,4, Norris,,57,+56.335s,0
2022,Bahrain,16,6, Latifi,,57,+61.795s,0
2022,Bahrain,17,27, Hulkenberg,,57,+63.829s,0
2022,Bahrain,18,11, Perez,,56,DNF,0
2022,Bahrain,19,1, Verstappen,,54,DNF,0
2022,Bahrain,NC,10, Gasly,,44,DNF,0
2022,Saudi Arabia,1,1, Verstappen,,50,1:24:19.293,25
2022,Saudi Arabia,2,16, Leclerc,,50,+0.549s,19
2022,Saudi Arabia,3,55, Sainz,,50,+8.097s,15
2022,Saudi Arabia,4,11, Perez,,50,+10.800s,12
2022,Saudi Arabia,5,63, Russell,,50,+32.732s,10
2022,Saudi Arabia,6,31, Ocon,,50,+56.017s,8
2022,Saudi Arabia,7,4, Norris,,50,+56.124s,6
2022,Saudi Arabia,8,10, Gasly,,50,+62.946s,4
2022,Saudi Arabia,9,20, Magnussen,,50,+64.308s,2
2022,Saudi Arabia,10,44, Hamilton,,50,+73.948s,1
2022,Saudi Arabia,11,24,Zhou ,,50,+82.215s,0
